Daily Summary

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Backup Type: all
Level: all
Save Time: from earliest available to 12/4/08 4:53:24 PM

Date,Amount of Data,Number of Files,Number of Save Sets
12/4/07,50411532936,311,8
12/5/07,128844861992,4975,32
12/6/07,161882234744,5496,45
12/7/07,1022235113060,8377,151
12/8/07,1715563457044,10755,216
12/9/07,76423622296,6261,49
12/10/07,65675575100,6286,47
12/11/07,86013216780,6542,50
12/12/07,64871763496,5916,28
12/13/07,44815495156,5871,27
12/14/07,987768989880,8550,129
12/15/07,42995088848,5682,24
12/16/07,52181152008,5547,26
12/17/07,52001454144,5361,29
12/18/07,105656408652,5516,33
12/19/07,48816477720,5463,34
12/20/07,46844766120,5475,32
12/21/07,991071507088,8031,128
12/22/07,49499063628,5358,26
12/23/07,40215021808,5469,28
12/24/07,55266147684,5693,33
12/25/07,45713124112,5692,32
12/26/07,49896083096,5903,37
12/27/07,66599682136,5969,36
12/28/07,991647116248,8622,135
12/29/07,278666411816,8424,35
12/30/07,49242194984,6273,40
12/31/07,68352215276,6275,38
1/1/08,55887165000,6407,39
1/2/08,79412711912,6701,44
1/3/08,120292998976,6939,46
1/4/08,78766254168,6408,31
1/5/08,114450483120,6375,33
1/6/08,114312445560,6888,45
1/7/08,107918410340,6900,43
1/8/08,100003451396,7074,46
1/9/08,85623586764,7430,53
1/10/08,58600821860,7464,53
1/11/08,75954145340,7593,51
1/12/08,41904002832,7404,46
1/13/08,44538548012,7635,49
1/14/08,63244417388,7771,50
1/15/08,61435881988,7170,33
1/16/08,117311682360,7316,35
1/17/08,123284615532,6829,23
1/19/08,2568230568224,10168,267
1/20/08,3316422508496,17052,362
1/21/08,43718414056,8074,37
1/22/08,33918641056,7048,23
1/23/08,46875698856,7654,28
1/24/08,46157156500,7720,29
1/25/08,50482417420,7798,29
1/26/08,1053124245288,9800,132
1/27/08,57780210492,7403,23
1/28/08,55777837188,7015,29
1/29/08,46318349776,6948,28
1/30/08,73805847564,7268,33
1/31/08,104717465068,7187,29
2/1/08,1061799642028,9203,136
2/2/08,73289605260,7753,36
2/3/08,97022052828,7784,38
2/4/08,75487407288,7454,30
2/5/08,121619548300,7683,32
2/6/08,59168772736,7785,35
2/7/08,43965511156,7104,21
2/8/08,47730729504,7315,25
2/9/08,1682473837440,13138,190
2/10/08,45868129664,7572,27
2/11/08,91648840948,7848,31
2/12/08,45615676004,7565,26
2/13/08,116029292368,8567,43
2/14/08,75458798024,9066,52
2/15/08,1071293232508,12350,157
2/16/08,74255485008,10377,55
2/17/08,62942617312,9269,49
2/18/08,78299251768,9062,42
2/19/08,50615772580,8775,36
2/20/08,50912456588,8937,37
2/21/08,45785775420,8558,30
2/22/08,1057454433780,11795,138
2/23/08,43134087184,8450,30
2/24/08,41707283208,8214,27
2/25/08,63902724136,8708,36
2/26/08,65748578644,8676,35
2/27/08,48164988380,8558,33
2/28/08,89788088496,8561,31
2/29/08,79403332344,8927,37
3/1/08,52116906952,8065,28
3/2/08,84670088840,8671,37
3/3/08,105038502212,9018,41
3/4/08,93467947888,8852,37
3/5/08,127208780572,9092,39
3/6/08,160298677788,9773,48
3/7/08,1109523974680,13160,158
3/8/08,1720326895236,15154,217
3/9/08,51560641096,10708,50
3/10/08,67737070792,11030,53
3/11/08,91994080628,10964,50
3/12/08,56080488324,10062,34
3/13/08,50854307384,10195,36
3/14/08,1054310144752,13175,139
3/15/08,46659995452,9759,30
3/16/08,54329484928,9771,34
3/17/08,49144844696,9615,34
3/18/08,48268410732,9576,34
3/19/08,47677622180,9482,33
3/20/08,65281298132,9634,34
3/21/08,45150411308,9369,30
3/22/08,45959320304,8709,23
3/23/08,39074656840,8693,23
3/24/08,42361292240,8993,28
3/25/08,42156771304,9087,29
3/26/08,56514154932,9190,30
3/27/08,44737212680,9311,32
3/28/08,36173252388,9188,30
3/29/08,41089457180,9038,27
3/30/08,40129208572,9008,26
3/31/08,99808724708,9844,38
4/1/08,83638164948,9811,35
4/2/08,82187911456,9957,36
4/3/08,110323360832,10475,42
4/4/08,1082751514336,11739,136
4/5/08,127503914524,10626,37
4/6/08,110358657096,11403,47
4/7/08,117807606432,11425,45
4/8/08,71864271760,11088,40
4/9/08,46872689116,11037,39
4/10/08,98522910708,11552,44
4/11/08,72972710892,12240,54
4/12/08,2699178091352,18598,322
4/13/08,61883562908,12654,52
4/14/08,71726532384,12825,53
4/15/08,71818236216,12908,53
4/16/08,63214264660,12031,38
4/17/08,50597678404,11720,35
4/18/08,1054856157460,13683,140
4/19/08,45917227304,11663,32
4/20/08,45288406584,10946,30
4/21/08,48637686652,11262,35
4/22/08,54275086620,11162,34
4/23/08,48256979540,11108,34
4/24/08,43638930540,10672,28
4/25/08,1069163480396,13029,136
4/26/08,41527584524,10476,25
4/27/08,41006043404,10326,23
4/28/08,61259977260,10959,31
4/29/08,42041005856,10646,27
4/30/08,74966109384,11251,34
5/1/08,75031552140,11361,35
5/2/08,1112388462248,14262,148
5/3/08,93121524972,11876,39
5/4/08,89003895492,11743,36
5/5/08,127223870916,12311,41
5/6/08,122593725108,13051,49
5/7/08,92818003896,12751,44
5/8/08,74030029948,12451,40
5/9/08,1066027189060,14478,142
5/10/08,54355451128,12061,34
5/11/08,51933369048,12262,36
5/12/08,50569412956,11968,32
5/13/08,54284861588,12047,33
5/14/08,78446653840,12003,32
5/15/08,95950962616,11945,31
5/16/08,1063759090224,14368,141
5/17/08,47365549288,11734,29
5/18/08,48304415680,11993,32
5/19/08,49944901736,12093,33
5/20/08,47292905112,11963,31
5/21/08,120724125028,12458,35
5/22/08,55942022464,11999,30
5/23/08,28073568876,21371,30
5/24/08,27527425620,10655,18
5/25/08,27884203596,10721,19
5/26/08,31807615364,11287,26
5/27/08,1673127160676,15418,193
5/28/08,1093835283280,15266,135
5/29/08,37832529844,11798,25
5/30/08,1095075360904,15769,137
5/31/08,1106383234068,16420,143
6/1/08,53131287316,12947,32
6/2/08,103323425848,13990,42
6/3/08,159646263696,14330,43
6/4/08,78857559228,12999,32
6/5/08,132594161008,13285,36
6/6/08,1146260638796,17803,153
6/7/08,1708884181692,18484,203
6/8/08,47420965864,13077,31
6/9/08,46962094952,13088,31
6/10/08,64111577032,13222,32
6/11/08,247677367052,14754,38
6/12/08,96992100912,14156,41
6/13/08,1145662335716,17913,152
6/14/08,54872041092,14287,42
6/15/08,44860450780,11243,11
6/22/08,1239308476196,3813,135
6/23/08,48498479432,12500,26
6/24/08,52188759288,12746,29
6/25/08,52013841860,12615,28
6/26/08,51489826888,12522,26
6/27/08,1246057352396,15274,148
6/28/08,52966770028,12835,24
6/29/08,47615538216,12904,25
6/30/08,116815559232,13889,36
7/1/08,107350814968,14946,46
7/2/08,102303075000,15730,53
7/3/08,152591967356,15042,43
7/4/08,1332984453776,18279,172
7/5/08,171843068980,15357,43
7/6/08,98066351080,15277,42
7/7/08,97591936768,15518,43
7/8/08,91440509200,16490,52
7/9/08,83028680736,16196,48
7/10/08,103812649720,16183,48
7/11/08,1268600149284,17517,158
7/12/08,1890868420116,19410,213
7/13/08,55750723312,14150,24
7/14/08,71613739596,14537,28
7/15/08,71487789680,14940,32
7/16/08,83865852020,15173,34
7/17/08,56601147840,14635,30
7/18/08,1253270175564,17253,155
7/19/08,48828703668,14106,25
7/20/08,50775938608,13851,26
7/21/08,55521352924,14304,30
7/22/08,59482509788,14357,30
7/23/08,54110245476,14166,28
7/24/08,51811239676,13871,25
7/25/08,1250187942484,16742,152
7/26/08,50039353208,13885,25
7/27/08,47833902528,13371,20
7/28/08,57993058436,14338,29
7/29/08,49578298368,13940,25
7/30/08,53893063324,15119,36
7/31/08,79996395940,15132,37
8/1/08,1268272034756,16999,152
8/2/08,68433489344,15252,35
8/3/08,117292452812,15753,38
8/4/08,101982773656,15311,33
8/5/08,178435440108,15736,35
8/6/08,189539720300,17427,50
8/7/08,128659205240,17910,54
8/8/08,1283549470824,23374,177
8/9/08,1906065679152,22855,232
8/10/08,71032058520,18156,49
8/11/08,82287719380,16705,35
8/12/08,52941564976,15786,27
8/13/08,54041257168,15897,28
8/14/08,50314935580,15614,26
8/15/08,1259068221412,21765,157
8/16/08,58410506240,15660,27
8/17/08,49854527948,15077,26
8/18/08,57921443776,15612,31
8/19/08,61692598128,15756,32
8/20/08,105013639244,16904,41
8/21/08,79408080196,18250,52
8/22/08,1268674164144,23342,172
8/23/08,161398313168,17850,47
8/24/08,57947367576,17215,40
8/25/08,96328675412,16349,31
8/26/08,63652696028,15847,27
8/27/08,45714276356,15473,24
8/28/08,68738556264,15493,24
8/29/08,1254296795764,21277,151
8/30/08,37148091904,14826,20
8/31/08,71267620184,14935,23
9/1/08,58835863644,15465,26
9/2/08,65426336316,16422,34
9/3/08,93011803320,16670,35
9/4/08,79537759304,16153,30
9/5/08,1336051036368,21462,154
9/6/08,57545097880,17312,39
9/7/08,94850363672,17523,39
9/8/08,79658610316,17239,36
9/9/08,61149810416,16865,34
9/10/08,52924944656,16949,33
9/11/08,55143959652,16855,32
9/12/08,1272083680840,19174,153
9/13/08,1877018415644,20891,206
9/14/08,44810190556,16634,27
9/15/08,43468228400,16484,26
9/16/08,63142109560,17257,32
9/17/08,52918887152,17026,30
9/18/08,55179007216,17552,34
9/19/08,1251668967108,19710,154
9/20/08,43175774384,16357,24
9/21/08,41026132632,15760,22
9/22/08,50486544072,16296,26
9/23/08,43212053952,16429,27
9/24/08,43569538840,16186,25
9/25/08,43117325508,16304,26
9/26/08,1242328308176,19402,154
9/27/08,70519161596,16770,29
9/28/08,52605979604,16790,29
9/29/08,39176706228,15803,21
9/30/08,65077953460,16350,25
10/1/08,58021392664,16749,28
