Monthly Summary

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Backup Type: all
Level: all
Save Time: from earliest available to 12/4/08 4:53:18 PM

Month,Amount of Data,Number of Files,Number of Save Sets
December 2007,7439169777852,174093,1528
January 2008,8940270982532,231439,1769
February 2008,6560585950904,255054,1495
March 2008,5669704625720,306186,1482
April 2008,7694056753548,349272,1717
May 2008,9792658356716,401883,1829
June 2008,8038211054520,324676,1396
July 2008,9003123509424,473815,1752
August 2008,10349383375560,534406,1896
September 2008,8428720550472,516090,1562
October 2008,7658241317800,588229,1635
November 2008,7489822943600,607390,1568
December 2008,365564610804,78657,123
