Save Set Details

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Backup Type: all
Level: all
Save Time: from earliest available to 12/4/08 4:53:46 PM

Save Set Name,Save Time,Save Set ID,Level,Duration,Save Set Size,Number of Files
/,1/11/08 10:47:54 AM,3448167105, ,0,4794224876,97
/arcbk/,12/4/07 3:31:32 PM,2908029427, ,18,1072041224,29
/arcbk/,12/4/07 5:35:40 PM,2874482439, ,60,3751622984,34
/arcbk/,12/4/07 6:04:49 PM,2857706961, ,52,3215713296,33
/arcbk/,12/4/07 7:23:29 PM,2840934454, ,249,15575346968,57
/arcbk/,12/4/07 8:37:32 PM,2824161644, ,392,24652514656,73
/arcbk/,12/4/07 9:01:29 PM,2807385831, ,34,1072045848,29
/arcbk/,12/5/07 1:01:37 AM,2773845923, ,18,1072046956,29
/arcbk/,12/5/07 1:50:12 AM,2723517190, ,212,13398177608,52
/arcbk/,12/5/07 9:02:23 AM,2606102562, ,26,1607967920,30
/arcbk/,12/5/07 9:41:55 AM,2589327711, ,130,8039005396,42
/arcbk/,12/5/07 10:05:33 AM,2572551884, ,61,3751648920,34
/arcbk/,12/5/07 10:34:49 AM,2555776420, ,52,3215723360,33
/arcbk/,12/5/07 11:01:37 AM,2539000821, ,19,1072047640,29
/arcbk/,12/5/07 7:11:33 PM,2354480871, ,121,7711511812,42
/arcbk/,12/5/07 7:50:22 PM,2337706012, ,212,13458234628,54
/arcbk/,12/5/07 9:19:16 PM,2320934132, ,565,31083567020,86
/arcbk/,12/5/07 10:20:13 PM,2304160535, ,212,13398188168,53
/arcbk/,12/5/07 11:02:19 PM,2270608676, ,26,1607972792,31
/arcbk/,12/6/07 1:01:35 AM,2220284195, ,18,1072052808,30
/arcbk/,12/6/07 1:37:13 AM,2169954692, ,77,4823488612,37
/arcbk/,12/6/07 2:21:42 AM,2119625699, ,233,14470040856,55
/arcbk/,12/6/07 3:03:10 AM,2102850925, ,34,2143885928,32
/arcbk/,12/6/07 8:35:32 AM,2002207548, ,60,3751652156,35
/arcbk/,12/6/07 9:08:05 AM,1985432275, ,91,5359412724,38
/arcbk/,12/6/07 9:34:47 AM,1968656671, ,53,3215735068,34
