Save Set Summary

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Backup Type: all
Level: all
Save Time: from earliest available to 12/4/08 4:53:02 PM

Save Set Name,Amount of Data,Number of Files,Number of Save Sets
/,4794224876,97,1
/arcbk/,14699613159880,411572,4416
/arcbk/arch_1_63911.arc,536123204,28,1
/arcbk/arch_1_64003.arc,536124756,28,1
/arcbk/arch_1_64031.arc,536125028,28,1
/arcbk/arch_1_64032.arc,536125568,28,1
/arcbk/arch_1_64033.arc,536127644,28,1
/arcbk/arch_1_64067.arc,536128596,28,1
/arcbk/arch_1_64068.arc,536128624,28,1
/arcbk/arch_1_64069.arc,536128652,28,1
/arcbk/arch_1_64070.arc,536128680,28,1
/arcbk/arch_1_64071.arc,536128708,28,1
/arcbk/arch_1_64072.arc,536128736,28,1
/arcbk/arch_1_64073.arc,536128764,28,1
/arcbk/arch_1_64074.arc,536128792,28,1
/arcbk/arch_1_64075.arc,536128820,28,1
/arcbk/arch_1_64076.arc,536128848,28,1
/arcbk/arch_1_64201.arc,536132516,29,1
/arcbk/arch_1_64205.arc,536132628,29,1
/arcbk/arch_1_64206.arc,536132656,29,1
/arcbk/arch_1_64249.arc,536133860,29,1
/arcbk/arch_1_64250.arc,536133888,29,1
/arcbk/arch_1_64251.arc,536133916,29,1
/arcbk/arch_1_64252.arc,536133944,29,1
/arcbk/arch_1_64491.arc,536140804,30,1
/arcbk/arch_1_64494.arc,536140888,30,1
/arcbk/arch_1_64531.arc,536141924,30,1
/arcbk/arch_1_64532.arc,536139904,30,1
/arcbk/arch_1_64533.arc,536141980,30,1
/arcbk/arch_1_64555.arc,536142596,30,1
/arcbk/arch_1_64558.arc,536142680,30,1
/arcbk/arch_1_64577.arc,536143212,30,1
/arcbk/arch_1_64578.arc,536143240,30,1
/arcbk/arch_1_64579.arc,536137636,30,1
/arcbk/arch_1_64582.arc,536143352,30,1
/arcbk/arch_1_64585.arc,3023632,30,1
/arcbk/arch_1_64589.arc,536142012,30,1
/arcbk/arch_1_64592.arc,536143120,30,1
/arcbk/arch_1_64593.arc,536141612,30,1
/arcbk/arch_1_64646.arc,536145144,30,1
/arcbk/arch_1_64649.arc,536144204,30,1
/arcbk/arch_1_64650.arc,536145256,30,1
/arcbk/arch_1_64651.arc,536145284,30,1
/arcbk/arch_1_64652.arc,536145312,30,1
/arcbk/arch_1_64653.arc,536145340,30,1
/arcbk/arch_1_64654.arc,536145368,30,1
/arcbk/arch_1_64657.arc,536145452,30,1
/arcbk/arch_1_64658.arc,536145480,30,1
/arcbk/arch_1_64659.arc,536145676,31,1
/arcbk/arch_1_64660.arc,536145704,31,1
