Daily Save Set Summary

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Status: all
Backup Type: all
Level: all
Group Start Time: from earliest available to 12/4/08 4:54:39 PM

Date,Number of Save Sets,Successful,Failed,Success Ratio
11/5/08,7,7,0,100
11/6/08,7,7,0,100
11/7/08,131,131,0,100
11/8/08,190,190,0,100
11/9/08,7,7,0,100
11/10/08,7,7,0,100
11/11/08,7,7,0,100
11/12/08,7,7,0,100
11/13/08,7,7,0,100
11/14/08,131,131,0,100
11/15/08,7,7,0,100
11/16/08,7,7,0,100
11/17/08,7,7,0,100
11/18/08,7,7,0,100
11/19/08,7,7,0,100
11/20/08,7,7,0,100
11/21/08,131,131,0,100
11/22/08,7,7,0,100
11/23/08,7,7,0,100
11/24/08,7,7,0,100
11/25/08,7,7,0,100
11/26/08,7,7,0,100
11/27/08,7,7,0,100
11/28/08,7,7,0,100
11/29/08,7,7,0,100
11/30/08,7,7,0,100
12/1/08,7,7,0,100
12/2/08,7,7,0,100
12/3/08,7,7,0,100
12/4/08,7,7,0,100
