Daily Summary

Server Name: all
Group Name: all
Group Start Time: from earliest available to 12/4/08 4:54:19 PM
Status: all

Date,Total Duration,Total Group Runs,Successful,Failed,Interrupted,Success Ratio
11/5/08,645,3,3,0,0,100
11/6/08,693,3,3,0,0,100
11/7/08,4543,4,4,0,0,100
11/8/08,6798,4,4,0,0,100
11/9/08,741,3,3,0,0,100
11/10/08,684,3,3,0,0,100
11/11/08,619,3,3,0,0,100
11/12/08,776,3,3,0,0,100
11/13/08,540,3,3,0,0,100
11/14/08,4511,4,4,0,0,100
11/15/08,589,3,3,0,0,100
11/16/08,665,3,3,0,0,100
11/17/08,721,3,3,0,0,100
11/18/08,749,3,3,0,0,100
11/19/08,651,3,3,0,0,100
11/20/08,571,3,3,0,0,100
11/21/08,4409,4,4,0,0,100
11/22/08,586,3,3,0,0,100
11/23/08,660,3,3,0,0,100
11/24/08,714,3,3,0,0,100
11/25/08,734,3,3,0,0,100
11/26/08,663,3,3,0,0,100
11/27/08,589,3,3,0,0,100
11/28/08,548,3,3,0,0,100
11/29/08,582,3,3,0,0,100
11/30/08,652,3,3,0,0,100
12/1/08,737,3,3,0,0,100
12/2/08,743,3,3,0,0,100
12/3/08,694,3,3,0,0,100
12/4/08,782,3,3,0,0,100
