Save Set Details by Client

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Status: all
Backup Type: all
Level: all
Group Start Time: from earliest available to 12/4/08 4:54:51 PM

Client Name,Save Set Name,Save Set ID,Group Start Time,Save Type,Level,Status
jfa05,/home/fee/databk,1429135463,11/28/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,1999474431,11/27/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,2501754086,11/15/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,2201405832,12/4/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,791687650,11/29/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,103216995,11/22/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,2920838919,11/11/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,1847269864,11/13/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,1662979708,11/16/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,3273938045,11/20/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,2502704537,11/26/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,1729310977,11/7/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,3474400667,11/10/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,3104869863,11/5/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,4197635343,12/1/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,3911731456,11/23/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,3977630767,11/9/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,3660850854,12/2/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,3022711857,11/25/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,338789236,11/30/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,2367277172,11/12/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,3760390938,11/19/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,2737153505,11/21/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,824205334,11/17/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,2551308127,11/6/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,3306455703,11/8/08 2:00:01 AM,save,full,succeeded
jfa05,/home/fee/databk,3525941910,11/24/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,2989848610,12/3/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,1109158749,11/14/08 2:00:00 AM,save,full,succeeded
jfa05,/home/fee/databk,18985396,11/18/08 2:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,4044736027,11/9/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,3978836724,11/23/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,2568859359,11/15/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,891310608,11/17/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,405894511,11/30/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,3341043298,11/20/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,3827496192,11/19/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,2434382428,11/12/08 1:00:00 AM,save,full,succeeded
